expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
ANN260101,ANN2,1960,Spring,NW Ridge-W Ridge,10,2,1960-05-17,True,1,7937.0,True,False,6.0,
ANN269301,ANN2,1969,Autumn,NW Ridge-W Ridge,10,2,1969-10-22,True,1,7937.0,False,False,6.0,
ANN273101,ANN2,1973,Spring,W Ridge-N Face,6,1,1973-05-06,True,1,7937.0,False,False,5.0,
ANN278301,ANN2,1978,Autumn,N Face-W Ridge,2,0,1978-10-02,False,4,7000.0,False,False,,
ANN279301,ANN2,1979,Autumn,N Face-W Ridge,3,0,1979-10-18,False,4,7160.0,False,False,,
ANN280101,ANN2,1980,Spring,N Face-W Ridge,6,0,1980-04-24,False,6,7000.0,False,False,4.0,
ANN280102,ANN2,1980,Spring,SE Spur (to 6000m),7,0,1980-05-08,False,6,7250.0,False,False,4.0,
ANN281302,ANN2,1981,Autumn,NW Ridge-W Ridge,19,0,1981-09-23,False,4,6400.0,False,False,3.0,
ANN281301,ANN2,1981,Autumn,S Ridge/SE Face,9,0,1981-10-11,False,6,7400.0,False,False,5.0,
ANN282301,ANN2,1982,Autumn,S Face,5,0,1982-10-04,False,4,7350.0,False,False,5.0,
ANN283101,ANN2,1983,Spring,N Face-W Ridge,5,0,1983-05-05,False,6,7450.0,False,False,3.0,
ANN283301,ANN2,1983,Autumn,S Face-S Spur,5,4,1983-10-08,True,1,7937.0,False,False,3.0,
ANN283302,ANN2,1983,Autumn,N Face-W Ridge,6,0,1983-10-08,False,5,7300.0,False,False,5.0,
ANN283401,ANN2,1983,Winter,N Face-W Ridge,4,0,1983-12-11,False,5,5950.0,False,False,3.0,
ANN284101,ANN2,1984,Spring,S Face,3,0,1984-04-02,False,5,6000.0,False,False,2.0,
ANN284301,ANN2,1984,Autumn,SW Ridge,4,0,1984-09-03,False,5,5100.0,False,False,,
ANN285301,ANN2,1985,Autumn,S Face,8,0,1985-10-05,False,4,7020.0,False,False,4.0,
ANN286102,ANN2,1986,Spring,N Face-W Ridge,7,0,1986-04-30,False,4,7000.0,False,False,3.0,
ANN286101,ANN2,1986,Spring,NW Ridge-W Ridge,9,0,1986-05-04,False,4,7250.0,False,False,5.0,
ANN287301,ANN2,1987,Autumn,S Face,2,0,1987-10-13,False,10,7500.0,False,False,,
ANN290301,ANN2,1990,Autumn,N Face,7,0,1990-10-10,False,4,7200.0,False,False,3.0,
ANN450201,ANN4,1950,Summer,NW Ridge,6,0,1950-06-17,False,4,7300.0,False,False,4.0,
ANN452301,ANN4,1952,Autumn,NW Ridge (recon),6,0,,False,4,5700.0,False,False,,
ANN453101,ANN4,1953,Spring,Reconnaissance from S,2,0,,False,12,,False,False,,
ANN453301,ANN4,1953,Autumn,S Face (recon),7,0,,False,4,7100.0,False,False,6.0,
ANN455101,ANN4,1955,Spring,NW Ridge,4,3,1955-05-30,True,1,7525.0,False,False,4.0,
ANN457101,ANN4,1957,Spring,NW Ridge,2,2,1957-05-05,True,1,7525.0,False,False,4.0,
ANN460101,ANN4,1960,Spring,NW Ridge,4,3,1960-05-18,True,1,7525.0,False,False,5.0,
ANN469301,ANN4,1969,Autumn,NW Ridge,9,1,1969-10-07,True,1,7525.0,False,False,4.0,
ANN469302,ANN4,1969,Autumn,N Face-NW Ridge,10,3,1969-10-21,True,1,7525.0,False,False,5.0,
ANN470101,ANN4,1970,Spring,NW Ridge,8,2,1970-04-25,True,1,7525.0,False,False,4.0,
ANN474101,ANN4,1974,Spring,N Face-E Ridge,4,4,1974-04-26,True,1,7525.0,False,False,4.0,
ANN478101,ANN4,1978,Spring,NW Ridge,7,1,1978-04-23,True,1,7525.0,False,False,4.0,
ANN479301,ANN4,1979,Autumn,NW Ridge,16,0,1979-10-25,False,7,6900.0,False,False,4.0,
ANN480301,ANN4,1980,Autumn,N Face-E Ridge,14,5,1980-10-23,True,1,7525.0,False,False,4.0,
ANN481101,ANN4,1981,Spring,NW Ridge,7,2,1981-04-25,True,1,7525.0,False,False,4.0,
ANN481301,ANN4,1981,Autumn,NW Ridge,19,0,1981-10-10,False,4,7300.0,False,False,4.0,
ANN481401,ANN4,1981,Winter,N Face-NW Ridge,8,3,1981-12-22,True,1,7525.0,False,False,3.0,
ANN483101,ANN4,1983,Spring,NW Ridge,4,2,1983-05-09,True,1,7525.0,False,False,4.0,
ANN483301,ANN4,1983,Autumn,NW Ridge,15,4,1983-10-07,True,1,7525.0,False,False,3.0,
ANN484302,ANN4,1984,Autumn,NW Ridge,10,0,1984-10-06,False,4,6400.0,False,False,3.0,
ANN484301,ANN4,1984,Autumn,N Face (to 6800m),9,0,1984-10-06,False,8,6800.0,False,False,2.0,
ANN485301,ANN4,1985,Autumn,NW Ridge,15,0,1985-10-06,False,5,5000.0,False,False,,
ANN486101,ANN4,1986,Spring,NW Ridge,35,6,1986-05-02,True,1,7525.0,False,False,3.0,
ANN486301,ANN4,1986,Autumn,NW Ridge,9,2,1986-11-07,True,1,7525.0,False,False,4.0,
ANN487101,ANN4,1987,Spring,NW Ridge,6,0,1987-04-23,False,5,5700.0,False,False,,
ANN487302,ANN4,1987,Autumn,N Ridge-W Ridge,15,0,1987-10-16,False,4,6460.0,False,False,3.0,
ANN487301,ANN4,1987,Autumn,N Face rib,7,1,1987-10-10,True,1,7525.0,False,False,3.0,
ANN489301,ANN4,1989,Autumn,E Ridge from N,9,2,1989-09-20,True,1,7525.0,False,False,3.0,
ANN490301,ANN4,1990,Autumn,NW Ridge,12,0,1990-10-13,False,5,6600.0,False,False,3.0,
ANN490302,ANN4,1990,Autumn,NW Ridge,10,0,1990-10-29,False,5,6800.0,False,False,3.0,
ANN490303,ANN4,1990,Autumn,NW Ridge,8,1,1990-11-14,True,1,7525.0,True,False,3.0,
ANN491101,ANN4,1991,Spring,NW Ridge,6,0,1991-04-19,False,4,5650.0,False,False,1.0,
ANN491301,ANN4,1991,Autumn,NW Ridge,1,0,1991-09-05,False,4,6480.0,False,False,1.0,solo
ANN491302,ANN4,1991,Autumn,N Face-NW Ridge,1,0,1991-10-09,False,4,7000.0,False,False,3.0,solo
ANN491303,ANN4,1991,Autumn,NE Ridge,9,0,1991-11-15,False,4,6500.0,False,False,3.0,
ANN492101,ANN4,1992,Spring,NW Ridge,12,5,1992-05-05,True,1,7525.0,True,False,5.0,
ANN492301,ANN4,1992,Autumn,NW Ridge,6,2,1992-09-21,True,1,7525.0,False,False,3.0,
ANN492303,ANN4,1992,Autumn,NW Ridge,1,1,1992-09-23,True,1,7525.0,False,False,2.0,solo
ANN492302,ANN4,1992,Autumn,NW Ridge,6,4,1992-09-24,True,1,7525.0,False,False,3.0,
ANN492304,ANN4,1992,Autumn,NW Ridge,6,0,1992-10-02,False,4,6400.0,False,False,3.0,
MAKA88101,MAKA,1988,Spring,W Pillar up; NW Ridge down,1,1,1988-04-27,True,1,8485.0,False,False,2.0,solo
MAKA88103,MAKA,1988,Spring,Makalu La-NW Ridge,9,0,1988-05-08,False,4,7800.0,False,False,4.0,
MAKA88102,MAKA,1988,Spring,Makalu La-NW Ridge,9,0,1988-05-03,False,9,8300.0,False,False,4.0,
KANG88101,KANG,1988,Spring,N Ridge,5,3,1988-05-03,True,1,8586.0,False,False,4.0,
KANG88102,KANG,1988,Spring,N Ridge,4,0,1988-05-20,False,4,7800.0,False,False,4.0,
KANG88103,KANG,1988,Spring,SW Face,23,0,1988-04-15,False,10,8450.0,True,False,6.0,
MAKA88104,MAKA,1988,Spring,W Face,2,0,,False,11,,False,False,,
AMAD88101,AMAD,1988,Spring,SW Ridge,4,0,1988-04-10,False,5,5770.0,False,True,1.0,
AMAD88102,AMAD,1988,Spring,SW Ridge,6,0,1988-04-15,False,5,6520.0,False,True,3.0,
BARU88102,BARU,1988,Spring,N Ridge from E,6,0,1988-05-07,False,9,6500.0,False,False,4.0,
BARU88101,BARU,1988,Spring,SE Ridge,10,0,1988-05-10,False,5,7070.0,True,False,3.0,
CHAM88101,CHAM,1988,Spring,N Face-NE Ridge-E Summit,6,0,1988-05-10,False,2,7290.0,False,False,3.0,
